date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,premium_target_pct,target_delta,prev_rvol,overnight,overnight_move_pct,gate_decision
2026-05-29,switch,points,sell,0,,1780025400,73370.0000,75400,71600,75400,75400,0,71400,71600,200,1,1,2.895389,4.435604,2.731405,4.184388,100,0.028562,0.041520,0.000000,0.000000,1780056000,73448.0000,17:30,0.000000,0.000000,0.000000,0.691579,0.691579,0.663017,0.423077,5,0.9000,0.034000,0.1200,0.00054812,0.00159212,0.159212,sell
2026-05-01,none,premium,sell,0,,1777606200,77204.5000,78400,75800,79200,78400,800,75200,75800,600,1,1,22.377557,23.810001,21.110174,22.461490,100,0.179951,0.261589,0.000000,0.000000,1777636800,77415.5000,17:30,0.000000,0.000000,0.000000,4.357166,4.357166,4.177215,0.433333,5,0.9000,0.034000,0.1200,0.00036804,0.01540778,1.540778,sell
2026-05-04,none,premium,sell,0,,1777865400,80058.0000,81800,77800,82000,81800,200,78000,77800,200,1,1,45.498120,28.308521,42.921274,26.705230,100,0.287557,0.418014,0.000000,0.000000,1777896000,78710.0000,17:30,0.000000,0.000000,0.000000,6.962650,6.962650,6.675093,0.380435,4,0.9000,0.034000,0.1200,0.00023045,0.01829051,1.829051,sell
2026-05-05,none,premium,sell,0,,1777951800,80740.0000,82000,79400,82800,82000,800,78800,79400,600,1,1,32.795487,26.174754,30.938071,24.692312,100,0.229753,0.333986,0.000000,0.000000,1777982400,80935.5000,17:30,0.000000,0.000000,0.000000,5.563038,5.563038,5.333285,0.808511,9,0.9000,0.034000,0.1200,0.00058278,0.02521777,2.521777,sell
2026-05-06,none,premium,sell,0,,1778038200,81554.5000,82600,80400,83600,82600,1000,79600,80400,800,1,1,30.902138,23.849068,29.151955,22.498345,100,0.213316,0.310091,0.000000,0.000000,1778068800,82504.5000,17:30,0.000000,0.000000,0.000000,5.165030,5.165030,4.951714,0.270833,3,0.9000,0.034000,0.1200,0.00036829,0.00717519,0.717519,sell
2026-05-07,none,premium,sell,0,,1778124600,80899.5000,82000,80000,82800,82000,800,78800,80000,1200,1,1,22.864857,27.238154,21.569876,25.695485,100,0.195206,0.283765,0.000000,0.000000,1778155200,80827.5000,17:30,0.000000,0.000000,0.000000,4.726536,4.726536,4.531330,0.591837,6,0.9000,0.034000,0.1200,0.00044292,0.01922762,1.922762,sell
2026-05-08,none,premium,sell,0,,1778211000,79566.0000,80800,78400,81600,80800,800,77600,78400,800,1,1,29.094574,26.686094,27.446764,25.174691,100,0.217327,0.315921,0.000000,0.000000,1778241600,80206.0000,17:30,0.000000,0.000000,0.000000,5.262146,5.262146,5.044819,0.450000,5,0.9000,0.034000,0.1200,0.00037443,0.01560731,1.560731,sell
2026-05-11,none,premium,sell,0,,1778470200,80580.5000,82400,78800,82600,82400,200,78600,78800,200,1,1,26.925305,31.143869,25.400355,29.379995,100,0.226243,0.328882,0.000000,0.000000,1778500800,81180.5000,17:30,0.000000,0.000000,0.000000,5.478035,5.478035,5.251792,0.058824,1,0.9000,0.034000,0.1200,0.00019844,0.00251289,0.251289,sell
2026-05-12,none,premium,sell,0,,1778556600,81145.0000,82000,80200,83200,82000,1200,79200,80200,1000,1,1,29.965039,21.970975,28.267930,20.726620,100,0.202347,0.294147,0.000000,0.000000,1778587200,80752.5000,17:30,0.000000,0.000000,0.000000,4.899455,4.899455,4.697107,0.076923,1,0.9000,0.034000,0.1200,0.00031806,0.00028952,0.028952,sell
2026-05-13,none,premium,sell,0,,1778643000,81060.5000,81800,80200,83000,81800,1200,79000,80200,1200,1,1,25.348710,27.906563,23.913052,26.326038,100,0.207487,0.301618,0.000000,0.000000,1778673600,80458.5000,17:30,0.000000,0.000000,0.000000,5.023909,5.023909,4.816422,0.132075,2,0.9000,0.034000,0.1200,0.00029139,0.00393223,0.393223,sell
