date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,prev_rvol,overnight,overnight_move_pct,gate_decision
2025-11-10,none,premium,sell,0,,1762745400,105952.0000,106600,105600,108000,106600,1400,104000,105600,1600,1,1,282.636945,330.183362,279.277537,327.747353,100,2.403650,0.579542,0.000000,0.000000,1762776000,106150.5000,17:30,0.000000,0.000000,0.000000,60.702489,60.702489,58.298839,0.740000,8,0.9000,0.00035702,0.03662104,3.662104,sell
2025-11-11,none,premium,sell,0,,1762831800,106677.0000,107200,106400,108600,107200,1400,104600,106400,1800,1,1,295.563788,326.021702,292.050733,323.616397,100,2.464958,0.591836,0.000000,0.000000,1762862400,105232.5000,17:30,0.000000,116.750000,116.750000,61.566713,-55.183287,-57.648245,0.431373,5,0.9000,0.00041385,0.00499308,0.499308,sell
2025-11-12,none,premium,sell,0,,1762918200,103278.0000,103600,103000,105200,103600,1600,101200,103000,1800,1,1,285.024110,269.367894,281.636329,266.166202,100,2.262424,0.658947,0.000000,0.000000,1762948800,104955.0000,17:30,135.500000,0.000000,135.500000,54.780253,-80.719747,-82.982171,0.730769,8,0.9000,0.00046160,0.01889947,1.889947,sell
2025-11-13,none,premium,sell,0,,1763004600,102395.0000,103000,102000,104400,103000,1400,100400,102000,1600,1,1,275.461656,303.239680,272.187533,301.002455,100,2.332396,0.551135,0.000000,0.000000,1763035200,102961.5000,17:30,0.000000,0.000000,0.000000,57.318999,57.318999,54.986603,0.792453,8,0.9000,0.00045285,0.02472128,2.472128,sell
2025-11-14,none,premium,sell,0,,1763091000,99264.5000,99800,98600,101200,99800,1400,97200,98600,1400,1,1,305.207447,269.816027,302.955705,266.609008,100,2.272416,0.545876,0.000000,0.000000,1763121600,96032.0000,17:30,0.000000,256.800000,256.800000,56.956471,-199.843529,-202.115945,0.925926,10,0.9000,0.00065989,0.03542416,3.542416,sell
2025-11-17,none,premium,sell,0,,1763350200,95469.0000,96400,94600,97400,96400,1000,93400,94600,1200,1,1,272.183313,265.894085,268.948156,262.733682,100,2.195846,0.639556,0.000000,0.000000,1763380800,95471.5000,17:30,0.000000,0.000000,0.000000,53.168184,53.168184,50.972338,0.290909,3,0.9000,0.00040295,0.00134418,0.134418,sell
2025-11-18,none,premium,sell,1,CHAIN_ONE_SIDED,1763436600,89781.0000,0,0,91800,0,0,87800,0,0,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.830357,9,0.9000,0.00048263,0.06028334,6.028334,sell
2025-11-19,none,premium,sell,0,,1763523000,92217.0000,92800,91600,94200,92800,1400,90200,91600,1400,1,1,239.387657,274.110247,236.542308,270.852187,100,2.065080,0.610341,0.000000,0.000000,1763553600,91408.0000,17:30,0.000000,19.200000,19.200000,50.739449,31.539449,29.474369,0.666667,7,0.9000,0.00080289,0.00803437,0.803437,sell
2025-11-20,none,premium,sell,0,,1763609400,92419.0000,93000,92000,94400,93000,1400,90400,92000,1600,1,1,269.872926,287.160700,266.665231,283.747523,100,2.181088,0.662087,0.000000,0.000000,1763640000,91885.5000,17:30,0.000000,11.450000,11.450000,55.041275,43.591275,41.410187,0.689655,7,0.9000,0.00061263,0.01135904,1.135904,sell
2025-11-21,none,premium,sell,0,,1763695800,85784.0000,87000,84800,87800,87000,800,83800,84800,1000,1,1,227.002885,331.212125,224.304741,328.768526,100,1.938630,0.514174,0.000000,0.000000,1763726400,82283.0000,17:30,0.000000,251.700000,251.700000,55.307327,-196.392673,-198.331303,0.864407,9,0.9000,0.00054800,0.06657091,6.657091,sell
2025-11-24,none,premium,sell,0,,1763955000,87533.5000,88400,86800,89600,88400,1200,85600,86800,1200,1,1,238.940354,274.564315,236.100322,271.300858,100,2.007990,0.610349,0.000000,0.000000,1763985600,86164.0000,17:30,0.000000,63.600000,63.600000,50.740118,-12.859882,-14.867872,0.691667,7,0.9000,0.00051950,0.01431079,1.431079,sell
