OPTION MARK DOWNLOADER — DRY RUN
================================================================================
--months=24  --dry-run (NO candle download)
--tail-days=5
contract life assumption (short unk.): 10d before 12:00 UTC settle
short-dated if life <= 14d → last 5d only
longer life (monthlies) → full listing life
strike band: entry_spot ± 6000

lookback range UTC: 2024-09-15 13:13:22+00:00 -> 2026-09-16 01:13:22+00:00

products page=110 rows=500 persisted=500 new=500 unique_so_far=55000 oldest=2025-02-02 newest=2025-03-28 total_count=10000
products page=111 rows=500 persisted=500 new=500 unique_so_far=55500 oldest=2025-01-30 newest=2025-03-28 total_count=10000
products page=112 rows=500 persisted=500 new=500 unique_so_far=56000 oldest=2025-01-25 newest=2025-02-14 total_count=10000
products page=113 rows=500 persisted=500 new=500 unique_so_far=56500 oldest=2025-01-21 newest=2025-02-14 total_count=10000
products page=114 rows=500 persisted=500 new=500 unique_so_far=57000 oldest=2025-01-18 newest=2025-02-28 total_count=10000
products page=115 rows=500 persisted=500 new=500 unique_so_far=57500 oldest=2025-01-13 newest=2025-02-07 total_count=10000
products page=116 rows=500 persisted=500 new=500 unique_so_far=58000 oldest=2025-01-09 newest=2025-01-31 total_count=10000
products page=117 rows=500 persisted=500 new=500 unique_so_far=58500 oldest=2025-01-04 newest=2025-02-28 total_count=10000
products page=118 rows=500 persisted=500 new=500 unique_so_far=59000 oldest=2024-12-30 newest=2025-02-28 total_count=10000
products page=119 rows=500 persisted=500 new=500 unique_so_far=59500 oldest=2024-12-25 newest=2025-02-28 total_count=10000
products page=120 rows=500 persisted=500 new=500 unique_so_far=60000 oldest=2024-12-21 newest=2025-01-10 total_count=10000
products page=121 rows=500 persisted=500 new=500 unique_so_far=60500 oldest=2024-12-17 newest=2025-01-31 total_count=10000
products page=122 rows=500 persisted=500 new=500 unique_so_far=61000 oldest=2024-12-14 newest=2025-01-31 total_count=10000
products page=123 rows=500 persisted=500 new=500 unique_so_far=61500 oldest=2024-12-10 newest=2025-01-03 total_count=10000
products page=124 rows=500 persisted=500 new=500 unique_so_far=62000 oldest=2024-12-05 newest=2025-01-31 total_count=10000
products page=125 rows=500 persisted=500 new=500 unique_so_far=62500 oldest=2024-11-30 newest=2025-01-31 total_count=10000
products page=126 rows=500 persisted=500 new=500 unique_so_far=63000 oldest=2024-11-26 newest=2025-01-31 total_count=10000
products page=127 rows=500 persisted=500 new=500 unique_so_far=63500 oldest=2024-11-21 newest=2024-12-13 total_count=10000
products page=128 rows=500 persisted=500 new=500 unique_so_far=64000 oldest=2024-11-18 newest=2024-12-06 total_count=10000
products page=129 rows=500 persisted=500 new=500 unique_so_far=64500 oldest=2024-11-14 newest=2024-12-27 total_count=10000
products page=130 rows=500 persisted=500 new=500 unique_so_far=65000 oldest=2024-11-10 newest=2024-12-27 total_count=10000
products page=131 rows=500 persisted=500 new=500 unique_so_far=65500 oldest=2024-11-06 newest=2024-12-27 total_count=10000
products page=132 rows=500 persisted=500 new=500 unique_so_far=66000 oldest=2024-11-01 newest=2024-11-22 total_count=10000
products page=133 rows=500 persisted=500 new=500 unique_so_far=66500 oldest=2024-10-26 newest=2024-12-27 total_count=10000
products page=134 rows=500 persisted=500 new=500 unique_so_far=67000 oldest=2024-10-19 newest=2024-12-27 total_count=10000
products page=135 rows=500 persisted=500 new=500 unique_so_far=67500 oldest=2024-10-12 newest=2024-11-29 total_count=10000
products page=136 rows=500 persisted=500 new=500 unique_so_far=68000 oldest=2024-10-05 newest=2024-11-01 total_count=10000
products page=137 rows=500 persisted=500 new=500 unique_so_far=68500 oldest=2024-09-28 newest=2024-11-29 total_count=10000
products page=138 rows=500 persisted=500 new=500 unique_so_far=69000 oldest=2024-09-22 newest=2024-11-29 total_count=10000
products page=139 rows=500 persisted=500 new=500 unique_so_far=69500 oldest=2024-09-14 newest=2024-10-25 total_count=10000
products page=140 rows=500 persisted=500 new=500 unique_so_far=70000 oldest=2024-09-07 newest=2024-10-04 total_count=10000
products page=141 rows=500 persisted=500 new=500 unique_so_far=70500 oldest=2024-09-02 newest=2024-10-25 total_count=10000
products page=142 rows=500 persisted=500 new=500 unique_so_far=71000 oldest=2024-08-27 newest=2024-10-25 total_count=10000
products page=143 rows=500 persisted=500 new=500 unique_so_far=71500 oldest=2024-08-20 newest=2024-09-13 total_count=10000
products page=144 rows=500 persisted=500 new=500 unique_so_far=72000 oldest=2024-08-14 newest=2024-09-06 total_count=10000
products page=145 rows=500 persisted=500 new=500 unique_so_far=72500 oldest=2024-08-08 newest=2024-08-30 total_count=10000
products page=146 rows=500 persisted=500 new=500 unique_so_far=73000 oldest=2024-08-05 newest=2024-09-27 total_count=10000
products page=147 rows=500 persisted=500 new=500 unique_so_far=73500 oldest=2024-08-01 newest=2024-09-27 total_count=10000
products page=148 rows=500 persisted=500 new=500 unique_so_far=74000 oldest=2024-07-27 newest=2024-09-27 total_count=10000
products page=149 rows=500 persisted=500 new=500 unique_so_far=74500 oldest=2024-07-20 newest=2024-08-30 total_count=10000
products page=150 rows=500 persisted=500 new=500 unique_so_far=75000 oldest=2024-07-15 newest=2024-08-30 total_count=10000
products page=151 rows=500 persisted=500 new=500 unique_so_far=75500 oldest=2024-07-08 newest=2024-08-02 total_count=10000
products page=152 rows=500 persisted=500 new=500 unique_so_far=76000 oldest=2024-07-04 newest=2024-08-30 total_count=10000
products page=153 rows=500 persisted=500 new=500 unique_so_far=76500 oldest=2024-06-28 newest=2024-08-30 total_count=10000
products page=154 rows=500 persisted=500 new=500 unique_so_far=77000 oldest=2024-06-21 newest=2024-07-26 total_count=10000
products page=155 rows=500 persisted=500 new=500 unique_so_far=77500 oldest=2024-06-13 newest=2024-07-05 total_count=10000
products page=156 rows=500 persisted=500 new=500 unique_so_far=78000 oldest=2024-06-06 newest=2024-07-26 total_count=10000
products page=157 rows=500 persisted=500 new=500 unique_so_far=78500 oldest=2024-05-31 newest=2024-07-26 total_count=10000
products page=158 rows=500 persisted=500 new=500 unique_so_far=79000 oldest=2024-05-24 newest=2024-06-14 total_count=10000
products page=159 rows=500 persisted=500 new=500 unique_so_far=79500 oldest=2024-05-18 newest=2024-06-07 total_count=10000
products page=160 rows=500 persisted=500 new=500 unique_so_far=80000 oldest=2024-05-10 newest=2024-05-24 total_count=10000
products page=161 rows=500 persisted=500 new=500 unique_so_far=80500 oldest=2024-05-04 newest=2024-05-24 total_count=10000
products page=162 rows=500 persisted=500 new=500 unique_so_far=81000 oldest=2024-04-29 newest=2024-06-28 total_count=10000
products page=163 rows=500 persisted=500 new=500 unique_so_far=81500 oldest=2024-04-23 newest=2024-06-28 total_count=10000
products page=164 rows=500 persisted=500 new=500 unique_so_far=82000 oldest=2024-04-18 newest=2024-05-10 total_count=10000
products page=165 rows=500 persisted=500 new=500 unique_so_far=82500 oldest=2024-04-13 newest=2024-05-03 total_count=10000
products page=166 rows=500 persisted=500 new=500 unique_so_far=83000 oldest=2024-04-08 newest=2024-05-03 total_count=10000
products page=167 rows=500 persisted=500 new=500 unique_so_far=83500 oldest=2024-04-02 newest=2024-05-31 total_count=10000
products page=168 rows=500 persisted=500 new=500 unique_so_far=84000 oldest=2024-03-29 newest=2024-05-31 total_count=10000
products page=169 rows=500 persisted=500 new=500 unique_so_far=84500 oldest=2024-03-23 newest=2024-04-12 total_count=10000
products page=170 rows=500 persisted=500 new=500 unique_so_far=85000 oldest=2024-03-19 newest=2024-04-12 total_count=10000
products page=171 rows=500 persisted=500 new=500 unique_so_far=85500 oldest=2024-03-15 newest=2024-04-05 total_count=10000
products page=172 rows=500 persisted=500 new=500 unique_so_far=86000 oldest=2024-03-11 newest=2024-03-17 total_count=10000
products page=173 rows=500 persisted=500 new=500 unique_so_far=86500 oldest=2024-03-04 newest=2024-03-29 total_count=10000
products page=174 rows=500 persisted=500 new=500 unique_so_far=87000 oldest=2024-03-02 newest=2024-04-26 total_count=10000
products page=175 rows=500 persisted=500 new=500 unique_so_far=87500 oldest=2024-02-24 newest=2024-04-26 total_count=10000
products page=176 rows=500 persisted=500 new=500 unique_so_far=88000 oldest=2024-02-19 newest=2024-04-26 total_count=10000
products page=177 rows=500 persisted=500 new=500 unique_so_far=88500 oldest=2024-02-17 newest=2024-03-29 total_count=10000
products page=178 rows=500 persisted=500 new=500 unique_so_far=89000 oldest=2024-02-11 newest=2024-03-29 total_count=10000
products page=179 rows=500 persisted=500 new=500 unique_so_far=89500 oldest=2024-02-06 newest=2024-03-29 total_count=10000
products page=180 rows=500 persisted=500 new=500 unique_so_far=90000 oldest=2024-01-30 newest=2024-03-29 total_count=10000
products page=181 rows=500 persisted=500 new=500 unique_so_far=90500 oldest=2024-01-25 newest=2024-03-29 total_count=10000
products page=182 rows=500 persisted=500 new=500 unique_so_far=91000 oldest=2024-01-20 newest=2024-02-23 total_count=10000
products page=183 rows=500 persisted=500 new=500 unique_so_far=91500 oldest=2024-01-16 newest=2024-02-23 total_count=10000
products page=184 rows=500 persisted=500 new=500 unique_so_far=92000 oldest=2024-01-11 newest=2024-02-23 total_count=10000
products page=185 rows=500 persisted=500 new=500 unique_so_far=92500 oldest=2024-01-04 newest=2024-02-23 total_count=10000
products page=186 rows=96 persisted=96 new=96 unique_so_far=92596 oldest=2023-12-28 newest=2024-01-04 total_count=10000
products pagination complete at page=186 (no after)
products persisted_upserts=92596 db=D:\Tradeict Short (final)\New Setup\Tradeict Short Strangle\trading-bot\backtest\cache\products_btc_options.sqlite

===== PAGINATION VERIFY (FIX 1) =====
meta.total_count (API): 10000
unique symbols fetched: 92596
pages: 186  raw_rows_seen: 92596
pagination_complete (no after left): True
MATCH / MISMATCH: MATCH (unique=92596 > total_count=10000; API total_count appears CAPPED at 10000; after-cursor exhausted)

===== LIVE-WINDOW SCOPE (FIX 2) =====
symbols after live-window overlap filter: 69598
after strike band ±6000: 36391
expiries with no spot (skipped): 271 e.g. ['2024-09-16', '2024-09-17', '2024-09-18', '2024-09-19', '2024-09-20']
date range (expiries in live-window list): 2024-09-16 -> 2026-09-25

===== DOWNLOAD SCOPE ESTIMATE (tail-days) =====
symbols after band: 36391
short-dated (life<=14d): 34206  monthlies/long (full life): 2185
OLD scope (full 10d life each):
  requests≈145366  hours≈30.3  rows≈522990222  GB≈84.26
NEW scope (tail_days=5, monthlies full):
  requests≈91420  hours≈19.0  rows≈333884919  GB≈53.80
ESTIMATED SAVINGS: requests≈53946 (37.1%)  hours≈11.2
(sleep=0.75s between candle requests)
estimated requests (new): 91420
estimated hours (new): 19.05
estimated GB (new): 53.795

===== SPOT / CHECKS =====

===== SPECIFIC CHECKS =====
CHECK 1: P-BTC-78000-150526 in live-window list? PASS
CHECK 2: any expiry=2026-06-01 live in 2026-05 in list? PASS  (n=50; e.g. ['C-BTC-71400-010626', 'P-BTC-71400-010626', 'C-BTC-75400-010626', 'P-BTC-75400-010626', 'P-BTC-76000-010626'])
CHECK 3: oldest expiry=2024-09-16 (target≈2024-09-15, |Δ|=1d) PASS

DONE (dry-run).
