time_of_day,dte,strike_mode,adjustment_setting,wing,fill_package,n,mean,median,ci_lo,ci_hi,p5,worst,worst_date,sortino_per_cycle,mdd,surf_wing_pct
13:00,0,B15,none,1500,taker,386,0.064882,0.386029,-0.053073,0.172343,-2.272329,-5.884122,2025-11-21,0.064335,22.472578,12.95
15:00,0,A150,none,2000,maker,385,0.059020,0.374489,-0.051986,0.163120,-1.979341,-6.142100,2026-02-27,0.064117,25.454767,15.06
15:00,0,B15,none,OFF,taker,386,0.048384,0.276106,-0.041256,0.128788,-1.539828,-6.630237,2026-02-27,0.063662,20.253511,0.00
15:00,0,B30,none,4000,taker,376,0.058980,0.368156,-0.052917,0.165359,-1.931634,-6.448632,2026-02-27,0.063626,25.833477,39.10
13:00,0,B25,none,2000,taker,386,0.085240,0.497100,-0.074332,0.231645,-2.680301,-14.065133,2025-11-21,0.063586,22.262660,19.17
15:00,0,B25,none,4000,taker,376,0.056059,0.352914,-0.050090,0.158199,-1.967667,-6.448632,2026-02-27,0.063451,23.726936,38.56
13:00,3,B10,none,1500,maker,18,0.091756,0.747517,-0.739888,0.743133,-3.015693,-5.402438,2026-06-02,0.062898,6.132920,61.11
13:00,0,B15,none,1000,taker,386,0.060565,0.371580,-0.049670,0.162614,-2.332204,-10.239792,2025-11-21,0.062783,15.217504,5.44
11:00,0,B25,none,OFF,taker,381,0.097128,0.661856,-0.087810,0.270616,-3.622604,-11.077415,2025-11-21,0.062740,35.785889,0.00
11:00,0,A200,none,OFF,taker,381,0.097812,0.690264,-0.085672,0.276778,-3.167011,-10.103402,2025-11-21,0.062582,37.065213,0.00
13:00,0,A300,none,4000,taker,380,0.085645,0.415429,-0.086410,0.253873,-3.159023,-12.098571,2025-11-21,0.061022,30.831643,40.53
11:00,0,A300,none,2000,taker,381,0.090805,0.645807,-0.096257,0.272828,-4.341147,-6.203164,2025-10-01,0.061004,37.996562,13.91
13:00,0,A300,none,1000,maker,386,0.055006,0.257429,-0.064925,0.173098,-2.439652,-3.389980,2026-02-14,0.060571,25.566832,0.78
15:00,0,A100,none,1500,taker,386,0.051790,0.444393,-0.050026,0.146167,-1.911902,-5.881132,2026-02-27,0.060175,23.036960,8.81
11:00,0,B40,none,3000,taker,381,0.097205,0.608549,-0.107129,0.288397,-4.032608,-9.806994,2025-10-17,0.059599,40.394552,27.03
13:00,0,A200,none,OFF,maker,386,0.075128,0.400793,-0.079478,0.221946,-2.880067,-7.183472,2025-10-01,0.059128,27.748116,0.00
15:00,0,B25,none,1000,maker,386,0.045459,0.328355,-0.048936,0.133840,-1.976511,-3.502467,2026-02-27,0.058726,23.336909,1.81
11:00,2,A50,none,OFF,taker,380,0.175024,0.753326,-0.169106,0.482551,-5.340662,-23.467272,2025-10-09,0.058555,60.905081,0.00
